phi,psi,ccorr,imagcoh,plv,error,target,measure,result
1.874267906484297,-2.0177160415834825,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
-1.7207718750898993,1.4148225495867264,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
-2.9492095064366493,-1.6047391539527482,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
-0.2800666327565584,0.5579211768450301,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
1.4998431044283853,-1.4144587789142173,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
2.0170342851855922,-1.4885239923019316,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
2.6030021426988776,-2.30449663592349,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
-0.6590714480341187,0.42924360186753274,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
-1.1540044326195407,-0.24015124797199405,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
0.5211947018513583,-0.21124814872761055,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
1.7145083957222713,-1.413374951185585,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
-0.6161059331822512,1.3924908227635235,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
2.0960993824499674,-2.439183182021611,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
0.20376959593586852,-0.30980724382381375,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
0.009537753354282419,-0.14020951388904113,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
-1.7585828975678983,1.9133298658231226,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
-0.4747939759320188,0.5143335970416607,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
1.935196051151796,-2.1383149733102043,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
1.623746125875135,-2.348330478967569,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
-2.7438022556344537,-1.298822401783528,-0.9733954890591003,-0.05908887074054139,0.44195909056406996,7.078000024044498e-4,1,circular correlation,-0.9733954890591003
1.7198973251070964,-0.734085378425418,-0.7500004550242368,-0.1471204930041435,0.4736676559468712,2.0704705611643805e-13,2,circular correlation,-0.7500004550242368
2.1075369309612,2.9700812775896948,-0.7500004550242368,-0.1471204930041435,0.4736676559468712,2.0704705611643805e-13,2,circular correlation,-0.7500004550242368
2.4786534505738693,1.7542675291526253,-0.7500004550242368,-0.1471204930041435,0.4736676559468712,2.0704705611643805e-13,2,circular correlation,-0.7500004550242368
