,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlpclassifier__alpha,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,4.966175556182861,0.3033037530880979,0.004619097709655762,0.0006170906008795932,0.00017670169402947945,{'mlpclassifier__alpha': 0.00017670169402947945},0.48349286177806616,0.4987102604123881,0.5455708587341009,0.5254010223867442,0.49760956838966536,0.5437148772552499,0.5024870801033592,0.5091311793959754,0.5044803059930808,0.5231677237491191,0.513376573819775,0.019416029717253397,1,0.9998305659098611,0.9998327759197325,0.9988372093023256,0.9998306806637318,1.0,0.9996694214876033,0.9998319327731092,0.9986531986531986,0.9996721311475409,0.9994957983193278,0.9995653714176431,0.00043145369794498
1,5.152076721191406,0.2665304145520323,0.004562735557556152,0.0003513600291155429,0.5061576888752303,{'mlpclassifier__alpha': 0.5061576888752303},0.5024740428293316,0.4803006654070484,0.5088658086851809,0.5176978670897232,0.48027685695723876,0.5351227447500739,0.5127906976744186,0.4761057866482231,0.5028257085759718,0.512993305144468,0.5029453483761679,0.017981119321167062,26,0.9998305659098611,1.0,1.0,0.9994920419911955,0.9998317631224765,0.9993388429752066,0.9996638655462184,0.9993265993265994,0.9996721311475409,0.999327731092437,0.9996483541111536,0.0002532807736525644
2,5.075310516357422,0.501808518399189,0.007957673072814942,0.004651423886551921,0.024658329458549098,{'mlpclassifier__alpha': 0.024658329458549098},0.4797615184944841,0.4723568553355787,0.5070444795664936,0.49697690816146656,0.4643684096550116,0.5513753327417924,0.4895025839793282,0.47611402035371997,0.5348324988718653,0.5019556025369979,0.4974288209696739,0.02640699133129715,30,0.9993222636394443,0.9996655518394648,0.998671096345515,0.9994920419911955,0.9998317631224765,0.9995041322314049,0.9998319327731092,0.9994949494949494,1.0,0.9991596638655462,0.9994973395303106,0.0003649916225612202
3,4.72114245891571,0.3216836613087063,0.005364012718200683,0.0015340242465737262,0.00390796715682288,{'mlpclassifier__alpha': 0.00390796715682288},0.470940136275146,0.46240039431528795,0.5281779182659743,0.5144720606381104,0.5019240059302693,0.5139455782312925,0.5014211886304909,0.49042420050719626,0.5168682983432538,0.5196441155743481,0.5020217896711369,0.020452610442916113,27,0.9996611318197222,0.9998327759197325,0.9985049833887043,0.9996613613274636,1.0,0.9996694214876033,0.9991596638655462,0.9991582491582491,1.0,0.9991596638655462,0.9994807250832567,0.00045013756050905413
4,4.7515276908874515,0.3612761757871629,0.004704499244689941,0.0007544171955184589,8.632008168602542e-06,{'mlpclassifier__alpha': 8.632008168602542e-06},0.48008598312783907,0.4495605027519921,0.5488071046887936,0.5088930019390093,0.4860322166880445,0.5449423247559894,0.5015503875968992,0.5048084840101439,0.5127425489395535,0.5212209302325581,0.5058643484730823,0.028126786611307308,22,0.9993222636394443,0.9998327759197325,0.9988372093023256,0.9998306806637318,1.0,0.9996694214876033,0.9998319327731092,0.9988215488215488,1.0,0.9998319327731092,0.9995977765380605,0.0004248207971236601
5,4.793280386924744,0.34045219193303994,0.008180809020996094,0.0062151649569849535,8.629132190071855e-06,{'mlpclassifier__alpha': 8.629132190071855e-06},0.49604558728098636,0.45411977326870945,0.5471889817114473,0.5148510488277807,0.49324515666905433,0.5449423247559894,0.5056524547803618,0.5076738135230379,0.5154285837075876,0.5229210711768851,0.510206879570184,0.025388732041123407,7,0.9993222636394443,0.9998327759197325,0.9988372093023256,0.9998306806637318,1.0,0.9996694214876033,0.9998319327731092,0.9988215488215488,1.0,0.9998319327731092,0.9995977765380605,0.0004248207971236601
6,4.9587526559829715,0.20779945958797452,0.004692482948303223,0.0005449943756097117,2.2310108018679216e-06,{'mlpclassifier__alpha': 2.2310108018679216e-06},0.4882381570408825,0.45192639447958594,0.5411229020847445,0.5175832892649392,0.5004580966500641,0.5401212658976634,0.5242894056847546,0.4904406679181899,0.5137739862904785,0.518560606060606,0.5086514771371908,0.025547402513813388,11,0.9996611318197222,0.9996655518394648,0.9991694352159468,0.9998306806637318,1.0,0.9996694214876033,0.9998319327731092,0.9988215488215488,0.9998360655737705,0.9998319327731092,0.9996317700968007,0.00034214887288956035
7,5.086130690574646,0.23941498651210222,0.0057421445846557615,0.004216607131787756,0.15741890047456636,{'mlpclassifier__alpha': 0.15741890047456636},0.4607397793640493,0.5052986116815904,0.5153383005945661,0.4970914859862507,0.44557811797238095,0.5691363501922508,0.5478359173126615,0.4631788690182129,0.5263661172830221,0.5471634954193094,0.5077727044824294,0.03938810487104718,14,0.9996611318197222,0.9994983277591973,0.9998338870431893,0.9996613613274636,1.0,0.9996694214876033,0.9998319327731092,0.9993265993265994,0.9998360655737705,0.9994957983193278,0.9996814525429982,0.0001913485211798285
8,4.816533493995666,0.3872062753310483,0.004547691345214844,0.0004491764926924816,0.004042872735027331,{'mlpclassifier__alpha': 0.004042872735027331},0.48418234912394553,0.473720529039678,0.5124031007751938,0.5209236735413361,0.4672835701554197,0.5378586217095533,0.5197997416020672,0.4990531238678655,0.524303242581172,0.5226744186046512,0.5062202371000882,0.022686726121547207,19,0.9994916977295831,0.9998327759197325,0.9988372093023256,0.9994920419911955,1.0,0.9996694214876033,0.9994957983193278,0.9991582491582491,1.0,0.9989915966386554,0.9994968790546673,0.0003813207424890703
9,4.963767838478089,0.4803111551847485,0.005163884162902832,0.0022286704376759956,0.017718847354806812,{'mlpclassifier__alpha': 0.017718847354806812},0.49841823491239456,0.4662860428817876,0.511394596221871,0.5213026617310065,0.4658176608752145,0.5523217982845312,0.520187338501292,0.48470177518690516,0.5292562906934267,0.5149136715997181,0.5064600070888148,0.026327498052530755,18,0.9994916977295831,1.0,0.9985049833887043,0.9994920419911955,1.0,0.9996694214876033,0.9996638655462184,0.9993265993265994,0.9998360655737705,0.999327731092437,0.9995312406136112,0.00041336068421974514
10,4.8566285371780396,0.3575386162742555,0.004618406295776367,0.0004746147938905444,1.3289448722869185e-06,{'mlpclassifier__alpha': 1.3289448722869185e-06},0.4950316353017521,0.4495605027519921,0.5380898622713931,0.5189494094835184,0.490371641318652,0.5367199053534457,0.5113372093023256,0.49904489016236864,0.5053076047016353,0.521837561663143,0.5066250222310227,0.024526286141828897,17,0.9996611318197222,0.9996655518394648,0.9990033222591362,0.9998306806637318,1.0,0.9996694214876033,0.9998319327731092,0.9988215488215488,0.9998360655737705,0.9998319327731092,0.9996151588011196,0.00036729991878094317
11,5.067364621162414,0.11927182822586524,0.004451680183410645,0.0003179551645818069,0.659871107205407,{'mlpclassifier__alpha': 0.659871107205407},0.46278796236210257,0.478953421506613,0.49511552645442913,0.527375286444562,0.4643684096550116,0.54220644779651,0.5130490956072351,0.4761057866482231,0.533382040097127,0.5435165609584214,0.5036860537530234,0.030439032755910287,25,1.0,0.9996655518394648,0.9998338870431893,0.9996613613274636,0.9996635262449529,0.9996694214876033,1.0,0.9996632996632997,1.0,0.9996638655462184,0.9997820913152191,0.00015104089395294391
