,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_logisticregression__C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,0.010865092277526855,0.004760787201510131,0.0007744550704956055,5.1622005126812354e-05,1e-05,{'logisticregression__C': 1e-05},0.5219123505976095,0.5739299610894941,0.5343511450381679,0.47024952015355087,0.6,0.5019083969465649,0.5725190839694656,0.5583173996175909,0.5180995475113123,0.5795677799607073,0.5430855184884463,0.038431064625605964,1,0.541621386655075,0.5887993026803225,0.6027516925092815,0.5058926233085989,0.5991708487890028,0.5691198951736187,0.553177549683337,0.5982532751091703,0.5940785239219052,0.5957771005659556,0.5748642198396268,0.030466000490896695
1,0.014236736297607421,0.006818778473010057,0.0011155843734741212,0.0006119189723386299,0.0001,{'logisticregression__C': 0.0001},0.5199203187250996,0.490272373540856,0.5209923664122137,0.5220729366602687,0.49038461538461536,0.5038167938931297,0.5591603053435115,0.4722753346080306,0.5067873303167421,0.5029469548133595,0.5088629329697827,0.022503774613654458,2,0.5405346663768746,0.5323599912835041,0.5335226031884691,0.5377564382365779,0.5265110189831987,0.55885564533741,0.5387639222537672,0.5388646288209606,0.5382965028963742,0.5385285154549412,0.5383993932832077,0.007908214188827698
2,0.018719935417175294,0.007237970350054353,0.0013213634490966796,0.0005013449735798706,0.001,{'logisticregression__C': 0.001},0.50199203187251,0.4961089494163424,0.5209923664122137,0.5201535508637236,0.5019230769230769,0.49427480916030536,0.5553435114503816,0.47609942638623326,0.49095022624434387,0.49901768172888017,0.505685563045801,0.020727224421258527,3,0.5322755922625516,0.532795816081935,0.5354880978379559,0.5390659100829333,0.5289111935413484,0.5520856082113998,0.5378903690762176,0.5388646288209606,0.5391546878352285,0.5461471484545058,0.5382679052205037,0.006450272508230971
3,0.015717339515686036,0.0032231129446687566,0.002147006988525391,0.003526110073467185,0.01,{'logisticregression__C': 0.01},0.50199203187251,0.490272373540856,0.4961832061068702,0.4990403071017274,0.5288461538461539,0.4751908396946565,0.5267175572519084,0.47609942638623326,0.47058823529411764,0.5088408644400786,0.4973770995535112,0.019290310688477204,10,0.5392306020430341,0.5410764872521246,0.5431316881415156,0.5392841553906591,0.5337115426576479,0.553177549683337,0.5348329329547936,0.5436681222707423,0.5415146964170778,0.5383108402263822,0.5407938617037313,0.005140645079335631
4,0.02075495719909668,0.002205545741262763,0.0011133670806884766,0.000686585037893397,0.1,{'logisticregression__C': 0.1},0.5039840637450199,0.5077821011673151,0.4866412213740458,0.510556621880998,0.5326923076923077,0.49809160305343514,0.5038167938931297,0.4894837476099426,0.47737556561085975,0.5108055009823183,0.5021229527009372,0.014654269469099276,4,0.5424907628776353,0.5417302244497711,0.5455339593797772,0.5388476647752073,0.5400392755836788,0.5505568901506879,0.5385455339593798,0.5465065502183406,0.5443037974683544,0.5446234218545929,0.5433178080717426,0.003561888501395376
5,0.016948175430297852,0.0026741852544380604,0.0008224725723266601,6.252252106299853e-05,1.0,{'logisticregression__C': 1.0},0.50199203187251,0.5097276264591439,0.4713740458015267,0.508637236084453,0.525,0.5019083969465649,0.5095419847328244,0.49521988527724664,0.4751131221719457,0.5009823182711198,0.4999496647617335,0.015347570679502872,9,0.5468376439904369,0.5432556112442798,0.5424765232583534,0.5425578350065473,0.542221252454724,0.553177549683337,0.5431316881415156,0.5469432314410481,0.5443037974683544,0.5446234218545929,0.5449528554543189,0.003181457364922497
6,0.017190384864807128,0.0022387335806353667,0.0008301496505737305,5.965301934840084e-05,10.0,{'logisticregression__C': 10.0},0.5079681274900398,0.5136186770428015,0.4675572519083969,0.5067178502879078,0.525,0.5076335877862596,0.5095419847328244,0.49521988527724664,0.4751131221719457,0.49901768172888017,0.5007388168426303,0.01660919806058987,8,0.5453162356009563,0.5443451732403574,0.5446604062022276,0.5429943256219991,0.5433122408902465,0.5523039965057873,0.5422581349639659,0.5471615720524018,0.5440892512336408,0.543752720940357,0.545019405725194,0.002746550065582577
7,0.018848609924316407,0.0051475400869407505,0.0009061336517333984,0.00022202408583443342,100.0,{'logisticregression__C': 100.0},0.5099601593625498,0.5136186770428015,0.4675572519083969,0.5067178502879078,0.525,0.5076335877862596,0.5095419847328244,0.49521988527724664,0.47737556561085975,0.49901768172888017,0.5011642643737726,0.016366979111424537,5,0.5457509237122364,0.5434735236434953,0.5442236296134527,0.5429943256219991,0.543094043203142,0.5525223848001747,0.5420397466695785,0.5471615720524018,0.5436601587642137,0.543752720940357,0.544867302902105,0.0029042852731690737
8,0.015650629997253418,0.0009650857443639422,0.0007879257202148438,2.8464981773909065e-05,1000.0,{'logisticregression__C': 1000.0},0.5099601593625498,0.5116731517509727,0.4675572519083969,0.5067178502879078,0.525,0.5076335877862596,0.5095419847328244,0.49521988527724664,0.47737556561085975,0.49901768172888017,0.5009697118445897,0.016228758006847487,6,0.5457509237122364,0.5434735236434953,0.5442236296134527,0.5427760803142733,0.543094043203142,0.5525223848001747,0.5422581349639659,0.5471615720524018,0.5436601587642137,0.543535045711798,0.5448455496779154,0.0029078250433079785
9,0.016458654403686525,0.0026253834093106013,0.000815582275390625,8.382254746799097e-05,10000.0,{'logisticregression__C': 10000.0},0.5099601593625498,0.5116731517509727,0.4675572519083969,0.5067178502879078,0.525,0.5076335877862596,0.5095419847328244,0.49521988527724664,0.47737556561085975,0.49901768172888017,0.5009697118445897,0.016228758006847487,6,0.5457509237122364,0.5434735236434953,0.5442236296134527,0.5427760803142733,0.543094043203142,0.5525223848001747,0.5424765232583534,0.5471615720524018,0.5436601587642137,0.543535045711798,0.5448673885073541,0.0028890702095102916
