,session,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_pca__n_components,param_svc__C,param_svc__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,"(2, 'high')",0.015264678001403808,0.004127812828429078,0.002298879623413086,0.00019302877623917616,8,0.24074797818114912,1.3605850354517506,"{'pca__n_components': 8, 'svc__C': 0.24074797818114912, 'svc__gamma': 1.3605850354517506}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,8,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.78125,0.78125,0.78125,0.8177083333333333,0.02386758174456163
1,"(2, 'high')",0.019618725776672362,0.005729586486965116,0.002090311050415039,6.543321347566292e-05,9,3817.9531667355664,0.00019794155307923224,"{'pca__n_components': 9, 'svc__C': 3817.9531667355664, 'svc__gamma': 0.00019794155307923224}",0.75,0.5,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.505,0.09069178573608527,6,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.9333333333333333,0.9333333333333333,0.9666666666666667,0.9333333333333333,0.96875,0.96875,0.96875,0.9506249999999999,0.0173067203549501
2,"(2, 'high')",0.016056180000305176,0.005420296541145102,0.0023319005966186525,0.0005337026498867552,8,0.6252409148594711,0.15506772502161342,"{'pca__n_components': 8, 'svc__C': 0.6252409148594711, 'svc__gamma': 0.15506772502161342}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,8,1.0,0.9666666666666667,0.9666666666666667,1.0,1.0,0.9666666666666667,0.9666666666666667,1.0,0.96875,1.0,0.9835416666666668,0.016468878478309724
3,"(2, 'high')",0.015117120742797852,0.0027056219454212075,0.003949904441833496,0.005026004735951918,9,1157.9900697218309,1.0738778665822482e-05,"{'pca__n_components': 9, 'svc__C': 1157.9900697218309, 'svc__gamma': 1.0738778665822482e-05}",0.75,0.3,0.55,0.5,0.3,0.3,0.4,0.3,0.4,0.3,0.41,0.14282856857085702,30,0.7444444444444445,0.7222222222222222,0.7555555555555555,0.7,0.7777777777777777,0.7,0.6777777777777778,0.6611111111111111,0.6701388888888888,0.6944444444444444,0.7103472222222222,0.03669197621861161
4,"(2, 'high')",0.5527973890304565,0.2796846035113565,0.0018755435943603516,0.00011614808661171216,5,736555.399227253,9.617306308605297e-05,"{'pca__n_components': 5, 'svc__C': 736555.399227253, 'svc__gamma': 9.617306308605297e-05}",0.75,0.5,0.65,0.5,0.55,0.75,0.5,0.4,0.3,0.4,0.53,0.14177446878757824,4,0.9111111111111112,0.8555555555555555,0.8888888888888888,0.8666666666666667,0.8555555555555555,0.8444444444444444,0.8555555555555555,0.9152777777777779,0.875,0.9263888888888889,0.8794444444444445,0.027748595782511886
5,"(2, 'high')",0.01485135555267334,0.005976409771131004,0.002821826934814453,0.0030485369818570042,6,31302.71340797644,0.04733169267189274,"{'pca__n_components': 6, 'svc__C': 31302.71340797644, 'svc__gamma': 0.04733169267189274}",0.5,0.5,0.75,0.5,0.75,0.4,0.4,0.4,0.5,0.4,0.51,0.12806248474865697,5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,"(2, 'high')",0.015079927444458009,0.004787761992863336,0.0017889976501464845,0.00010172945004021277,9,0.022556954496275403,5.494368786801342,"{'pca__n_components': 9, 'svc__C': 0.022556954496275403, 'svc__gamma': 5.494368786801342}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,8,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.78125,0.78125,0.78125,0.8177083333333333,0.02386758174456163
7,"(2, 'high')",0.014259052276611329,0.004314565919429814,0.0018247365951538086,0.00011210457054607802,9,0.014197044839476433,1.732535615427237e-05,"{'pca__n_components': 9, 'svc__C': 0.014197044839476433, 'svc__gamma': 1.732535615427237e-05}",0.5,0.3,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.2,0.44000000000000006,0.10198039027185568,28,0.5777777777777778,0.6555555555555556,0.6222222222222222,0.6888888888888889,0.5555555555555556,0.6555555555555556,0.6000000000000001,0.59375,0.53125,0.6388888888888888,0.6119444444444445,0.04678494435733057
8,"(2, 'high')",0.02164466381072998,0.006020120900044755,0.0019225358963012695,0.0001597461788373613,1,85175.4405738212,0.00010939375474644643,"{'pca__n_components': 1, 'svc__C': 85175.4405738212, 'svc__gamma': 0.00010939375474644643}",0.4,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,0.5,0.48,0.039999999999999994,22,0.6666666666666667,0.7,0.5333333333333333,0.7,0.5555555555555556,0.5777777777777777,0.5888888888888889,0.5493055555555555,0.5694444444444444,0.6875,0.6128472222222222,0.0640240493611966
9,"(2, 'high')",0.013608598709106445,0.0030212983280253664,0.001807260513305664,0.00022193652383806805,2,0.03354875019569653,0.00011354483914784967,"{'pca__n_components': 2, 'svc__C': 0.03354875019569653, 'svc__gamma': 0.00011354483914784967}",0.5,0.4,0.5,0.9,0.5,0.5,0.5,0.5,0.5,0.8,0.5599999999999999,0.14966629547095767,1,0.5666666666666667,0.6222222222222222,0.5333333333333333,0.5888888888888888,0.5666666666666667,0.5222222222222223,0.5888888888888889,0.59375,0.53125,0.6479166666666667,0.5761805555555556,0.03852890179006078
10,"(2, 'high')",0.03510599136352539,0.01323188071508605,0.0018794775009155274,0.00016268043928746774,4,7362.771796935915,0.0028226898455781745,"{'pca__n_components': 4, 'svc__C': 7362.771796935915, 'svc__gamma': 0.0028226898455781745}",0.55,0.4,0.5,0.5,0.75,0.4,0.4,0.4,0.4,0.4,0.4700000000000001,0.10770329614269007,24,0.9555555555555555,0.9444444444444444,0.9222222222222223,0.9222222222222223,0.8888888888888888,0.9222222222222223,0.9777777777777779,0.9375,0.9041666666666667,0.9152777777777779,0.9290277777777778,0.024386373573153167
11,"(2, 'high')",0.013193702697753907,0.0018058289284403385,0.002257037162780762,0.0010164064278319319,3,149.1313603929818,4.458207696891499e-05,"{'pca__n_components': 3, 'svc__C': 149.1313603929818, 'svc__gamma': 4.458207696891499e-05}",0.55,0.5,0.5,0.5,0.5,0.5,0.3,0.5,0.5,0.3,0.46499999999999997,0.08381527307120105,26,0.7,0.6777777777777778,0.5555555555555556,0.5888888888888889,0.5666666666666667,0.6,0.6666666666666667,0.6118055555555555,0.6229166666666667,0.5673611111111111,0.6157638888888889,0.047904638184291734
12,"(2, 'high')",0.013056468963623048,0.001612192851755876,0.0018949270248413085,0.00012951881446083272,1,0.48915269877694245,0.0001214293216339347,"{'pca__n_components': 1, 'svc__C': 0.48915269877694245, 'svc__gamma': 0.0001214293216339347}",0.4,0.3,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.6,0.48,0.07483314773547882,22,0.6111111111111112,0.6222222222222222,0.5333333333333333,0.5666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5201388888888889,0.53125,0.5854166666666667,0.5570138888888889,0.035135663554216
13,"(2, 'high')",0.012735676765441895,0.0007706141993335877,0.002297711372375488,0.000813031720959731,7,16.291592880286036,0.07921923680564198,"{'pca__n_components': 7, 'svc__C': 16.291592880286036, 'svc__gamma': 0.07921923680564198}",0.5,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.49000000000000005,0.029999999999999995,20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
14,"(2, 'high')",0.015138983726501465,0.0016103239784966054,0.0018744230270385741,0.00016839122794901336,8,1151.6269474842272,0.00021786885431593936,"{'pca__n_components': 8, 'svc__C': 1151.6269474842272, 'svc__gamma': 0.00021786885431593936}",0.5,0.5,0.75,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.505,0.09069178573608527,6,0.8888888888888888,0.9,0.8888888888888888,0.9,0.8666666666666667,0.9,0.8666666666666667,0.90625,0.8951388888888889,0.9465277777777779,0.8959027777777777,0.02128095512250159
15,"(2, 'high')",0.011969947814941406,0.0005039516418487732,0.001785111427307129,0.00023497558456758589,8,10.106624928458135,0.01035615056677107,"{'pca__n_components': 8, 'svc__C': 10.106624928458135, 'svc__gamma': 0.01035615056677107}",0.65,0.5,0.75,0.5,0.5,0.75,0.5,0.4,0.5,0.5,0.5549999999999999,0.11280514172678478,2,1.0,0.9666666666666667,0.9666666666666667,1.0,0.9666666666666667,0.9666666666666667,0.9666666666666667,0.96875,0.96875,1.0,0.9770833333333334,0.015023130314433284
16,"(2, 'high')",0.01408078670501709,0.0042850379004413745,0.0018554210662841796,0.00028243684769924576,4,7.415338338321304,3.1551103362477496e-05,"{'pca__n_components': 4, 'svc__C': 7.415338338321304, 'svc__gamma': 3.1551103362477496e-05}",0.5,0.45,0.5,0.65,0.5,0.5,0.3,0.5,0.5,0.2,0.45999999999999996,0.11789826122551596,27,0.5333333333333333,0.6444444444444444,0.5222222222222223,0.47777777777777775,0.5333333333333333,0.5555555555555556,0.6555555555555556,0.59375,0.5625,0.6145833333333333,0.5693055555555555,0.053990811403880394
17,"(2, 'high')",0.0119551420211792,0.0012077485987386793,0.001999354362487793,5.5846309109699514e-05,5,998.726911648615,2.3605162599910026,"{'pca__n_components': 5, 'svc__C': 998.726911648615, 'svc__gamma': 2.3605162599910026}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
18,"(2, 'high')",0.012926268577575683,0.0007151631935173001,0.00200045108795166,0.0001492548768868475,9,0.7746946749382326,0.7335498262678716,"{'pca__n_components': 9, 'svc__C': 0.7746946749382326, 'svc__gamma': 0.7335498262678716}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
19,"(2, 'high')",0.013167238235473633,0.0005019828440948402,0.002065587043762207,0.00011812032422679698,7,0.2881132533977738,3.238159485999761,"{'pca__n_components': 7, 'svc__C': 0.2881132533977738, 'svc__gamma': 3.238159485999761}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,8,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.8333333333333333,0.78125,0.78125,0.78125,0.8177083333333333,0.02386758174456163
20,"(2, 'high')",0.012732386589050293,0.001263407371315217,0.0019996166229248047,0.00025126929413899743,7,3.352647800331947,1.8098078511545712,"{'pca__n_components': 7, 'svc__C': 3.352647800331947, 'svc__gamma': 1.8098078511545712}",0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.0,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
21,"(2, 'high')",0.015313959121704102,0.004241293837713231,0.0032927989959716797,0.004003421842381674,9,172719.23665977034,0.002685043362939281,"{'pca__n_components': 9, 'svc__C': 172719.23665977034, 'svc__gamma': 0.002685043362939281}",0.65,0.5,0.5,0.5,0.75,0.4,0.4,0.4,0.5,0.4,0.5,0.11180339887498948,8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
