,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_randomforestclassifier__n_estimators,param_randomforestclassifier__max_features,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
0,7.2428535461425785,0.2547276241631043,0.06104583740234375,0.014534766174482532,114,4,"{'randomforestclassifier__n_estimators': 114, 'randomforestclassifier__max_features': 4}",0.5243956846203763,0.5037213505298612,0.5056596673440205,0.5020888418826017,0.5029484766204128,0.49074238391008573,0.547609819121447,0.5029147317458749,0.49462793046393194,0.5140680056377731,0.5088776891876384,0.015664018454077323,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1,43.551996779441836,0.8911880103690473,0.0657649040222168,0.002633319622003031,162,22,"{'randomforestclassifier__n_estimators': 162, 'randomforestclassifier__max_features': 22}",0.4996349772874757,0.4944302965579561,0.49817867088131257,0.49465009695046713,0.5029234895304093,0.513516711032239,0.5450581395348837,0.4971593716035965,0.5061886241055504,0.5035236081747709,0.505526398565866,0.014275682079700987,13,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
2,63.105622029304506,1.5580001074101144,0.09785130023956298,0.0033256464413198255,247,21,"{'randomforestclassifier__n_estimators': 247, 'randomforestclassifier__max_features': 21}",0.5094905905256327,0.49240121580547114,0.49514563106796117,0.49962101181032964,0.5072379270710133,0.5,0.5586563307493541,0.5043226953858314,0.4944237918215613,0.50157681465821,0.5062876008895365,0.01822471117151861,7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
3,54.15781137943268,1.2296340045152054,0.08353612422943116,0.0015796937578590419,212,21,"{'randomforestclassifier__n_estimators': 212, 'randomforestclassifier__max_features': 21}",0.5162637897469176,0.49476710753306496,0.49747121246331,0.5065661907280099,0.4985757358698006,0.49877255249926056,0.5560400516795866,0.4856815861410269,0.49937683993381615,0.503030303030303,0.5056545369625096,0.018385527877305168,11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
4,7.539510059356689,0.2609843733349931,0.017972111701965332,0.0005036723626139279,38,16,"{'randomforestclassifier__n_estimators': 38, 'randomforestclassifier__max_features': 16}",0.488339552238806,0.4834716175141707,0.5045382704899526,0.5019037546271814,0.48435808165781014,0.5140047323277137,0.5266149870801033,0.5045450054342456,0.4801448309946924,0.4881782945736434,0.497609912693832,0.01442236347164273,29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
5,17.097344088554383,0.40928734711173537,0.04377903938293457,0.0019346346965799111,105,13,"{'randomforestclassifier__n_estimators': 105, 'randomforestclassifier__max_features': 13}",0.4955386112913692,0.4937566746077384,0.5003010461353202,0.5003437334743522,0.48995518981859376,0.5011387163561076,0.5290697674418605,0.49431874320719293,0.5018479919204074,0.4929792107117688,0.49992496849647117,0.01044636341571732,26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
6,2.3675422430038453,0.08293659506429836,0.006706953048706055,0.0008007660932063255,8,24,"{'randomforestclassifier__n_estimators': 8, 'randomforestclassifier__max_features': 24}",0.53704980532122,0.5115501519756839,0.5325205087679687,0.5454785827604443,0.5410787759657509,0.48513753327417924,0.5315891472868217,0.5005845930902744,0.5416227947654555,0.48998414376321353,0.5216596036971012,0.021633177967941744,1,0.9851809864144665,0.9899733529107866,0.988161831498574,0.9879567074675336,0.9877332237235092,0.9863781018326473,0.9865114524612838,0.9868833260137608,0.987370638336844,0.9818948308168234,0.986804445147623,0.0020349239200665023
7,12.818582153320312,0.40497055033894863,0.020081353187561036,0.0026059734979459208,41,26,"{'randomforestclassifier__n_estimators': 41, 'randomforestclassifier__max_features': 26}",0.5019467878001298,0.5086338618253512,0.49716264017460676,0.4929843116516834,0.4900801252686112,0.4946317657497782,0.5284237726098191,0.5188222507657346,0.4981197756623762,0.4944591261451727,0.5025264417653263,0.011812795266790594,22,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,7.321321105957031,0.10523552105875215,0.09083385467529297,0.0028602935035959643,218,2,"{'randomforestclassifier__n_estimators': 218, 'randomforestclassifier__max_features': 2}",0.5135666774821545,0.5008461348886881,0.4967637540453074,0.49366296492155826,0.5014659092802052,0.49829931972789115,0.550484496124031,0.5043144616803347,0.49937683993381615,0.498546511627907,0.5057327069711894,0.015753106932456525,10,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,28.081541466712952,0.5251585931782589,0.04409971237182617,0.003935054522257987,106,22,"{'randomforestclassifier__n_estimators': 106, 'randomforestclassifier__max_features': 22}",0.5084360804672291,0.4815986198964922,0.4922104312485889,0.4874405076679006,0.48419983008778794,0.49338952972493344,0.5350129198966408,0.5129763198629911,0.49338161033156414,0.49637949260042286,0.49850253417845514,0.015330742684197046,28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
