feature,i,score
plv_alpha_F4,9,0.4921952078928823
plv_alpha_F8,0,0.5183728098637248
plv_alpha_F8,1,0.5067444344040088
plv_alpha_F8,2,0.5062768119214269
plv_alpha_F8,3,0.5020095187731359
plv_alpha_F8,4,0.48825606769835583
plv_alpha_F8,5,0.4825939071280686
plv_alpha_F8,6,0.4803940568475452
plv_alpha_F8,7,0.511362513585614
plv_alpha_F8,8,0.5016760856952532
plv_alpha_F8,9,0.5076109936575053
plv_alpha_AF4,0,0.5176833225178455
plv_alpha_AF4,1,0.47921629836523455
plv_alpha_AF4,2,0.4893053360427485
plv_alpha_AF4,3,0.5157059756742465
plv_alpha_AF4,4,0.45035065216304904
plv_alpha_AF4,5,0.49665779355220346
plv_alpha_AF4,6,0.4983850129198966
plv_alpha_AF4,7,0.49986826071205087
plv_alpha_AF4,8,0.501267808410512
plv_alpha_AF4,9,0.5072410147991543
plv_alpha_Fp2,0,0.4873458792991564
plv_alpha_Fp2,1,0.48386593280210305
plv_alpha_Fp2,2,0.4850229547678182
plv_alpha_Fp2,3,0.49161819143310415
plv_alpha_Fp2,4,0.4669587379853742
plv_alpha_Fp2,5,0.4923839100857734
plv_alpha_Fp2,6,0.4782945736434109
plv_alpha_Fp2,7,0.4900042815268583
plv_alpha_Fp2,8,0.507424200098846
plv_alpha_Fp2,9,0.5204809725158562
plv_alpha_Fz,0,0.4994524659312135
plv_alpha_Fz,1,0.4885073523371396
plv_alpha_Fz,2,0.4809061488673139
plv_alpha_Fz,3,0.5112286268288383
plv_alpha_Fz,4,0.4925705052389599
plv_alpha_Fz,5,0.4878586217095534
plv_alpha_Fz,6,0.5224483204134367
plv_alpha_Fz,7,0.4999588314725159
plv_alpha_Fz,8,0.49362872553022324
plv_alpha_Fz,9,0.5040873854827344
plv_alpha_Cz,0,0.4951938676184296
plv_alpha_Cz,1,0.5091596155425943
plv_alpha_Cz,2,0.49907428313389024
plv_alpha_Cz,3,0.5163229331923145
plv_alpha_Cz,4,0.4728806783162033
plv_alpha_Cz,5,0.4966134279798876
plv_alpha_Cz,6,0.4970284237726098
plv_alpha_Cz,7,0.5375209959490169
plv_alpha_Cz,8,0.5200055869523175
plv_alpha_Cz,9,0.5068269908386187
plv_theta_Fp1,0,0.4852976963011032
plv_theta_Fp1,1,0.5361044935513021
plv_theta_Fp1,2,0.48475201324602996
plv_theta_Fp1,3,0.49820200951877314
plv_theta_Fp1,4,0.5250870383635122
plv_theta_Fp1,5,0.5119491274770778
plv_theta_Fp1,6,0.46001291989664084
plv_theta_Fp1,7,0.5162533346507262
plv_theta_Fp1,8,0.5105937211251262
plv_theta_Fp1,9,0.5184196617336152
plv_theta_AF3,0,0.46728990914990265
plv_theta_AF3,1,0.5193543087160108
plv_theta_AF3,2,0.5060510273199368
plv_theta_AF3,3,0.48116516834126566
plv_theta_AF3,4,0.4807765987573087
plv_theta_AF3,5,0.510854776693286
plv_theta_AF3,6,0.462015503875969
plv_theta_AF3,7,0.5418189902183579
plv_theta_AF3,8,0.5021380836753551
plv_theta_AF3,9,0.48520084566596194
plv_theta_F7,0,0.466945165476963
plv_theta_F7,1,0.468060461677483
plv_theta_F7,2,0.4989914954466772
plv_theta_F7,3,0.5135466243610083
plv_theta_F7,4,0.46788326031550365
plv_theta_F7,5,0.516784974859509
plv_theta_F7,6,0.47025193798449616
plv_theta_F7,7,0.5198596976583342
plv_theta_F7,8,0.4969056879472248
plv_theta_F7,9,0.5050475687103594
plv_theta_F3,0,0.49675535366645035
plv_theta_F3,1,0.5013390289986035
plv_theta_F3,2,0.5053736735154662
plv_theta_F3,3,0.5275427463423232
plv_theta_F3,4,0.5185487498125968
plv_theta_F3,5,0.5019372966577935
plv_theta_F3,6,0.5147286821705427
plv_theta_F3,7,0.5128775153970293
plv_theta_F3,8,0.5413434471495799
plv_theta_F3,9,0.5186222692036646
plv_theta_FC1,0,0.5096528228423102
plv_theta_FC1,1,0.4743037870697445
plv_theta_FC1,2,0.5161059682396327
plv_theta_FC1,3,0.49304600740349025
plv_theta_FC1,4,0.49990838066998716
plv_theta_FC1,5,0.4943803608399882
plv_theta_FC1,6,0.49315245478036174
plv_theta_FC1,7,0.49848499818858477
plv_theta_FC1,8,0.5097234458602833
plv_theta_FC1,9,0.528400281888654
plv_theta_FC5,0,0.4848312783906554
plv_theta_FC5,1,0.5003203811714451
plv_theta_FC5,2,0.4880785730413186
plv_theta_FC5,3,0.5122157588577472
plv_theta_FC5,4,0.4969515750195732
plv_theta_FC5,5,0.5356699201419699
plv_theta_FC5,6,0.5050064599483204
plv_theta_FC5,7,0.4941540690972565
plv_theta_FC5,8,0.5058018350989535
plv_theta_FC5,9,0.4927061310782241
plv_theta_T7,0,0.5167099286177806
plv_theta_T7,1,0.46280292450505217
plv_theta_T7,2,0.49628208022879505
plv_theta_T7,3,0.5165432751630531
plv_theta_T7,4,0.5214139361329979
plv_theta_T7,5,0.5182194616977226
plv_theta_T7,6,0.4915374677002584
plv_theta_T7,7,0.4825033758192537
plv_theta_T7,8,0.5149021208930529
plv_theta_T7,9,0.520516208597604
plv_theta_C3,0,0.45637978585334193
plv_theta_C3,1,0.49866918590322845
plv_theta_C3,2,0.5061338150071498
plv_theta_C3,3,0.4981315000881368
plv_theta_C3,4,0.4688244407056354
plv_theta_C3,5,0.4792812777284827
plv_theta_C3,6,0.4982881136950904
plv_theta_C3,7,0.48667786450614237
plv_theta_C3,8,0.4764273588757333
plv_theta_C3,9,0.48583509513742074
plv_theta_CP1,0,0.49420019467878
plv_theta_CP1,1,0.4778936991702949
plv_theta_CP1,2,0.5108150824113795
plv_theta_CP1,3,0.508919442975498
plv_theta_CP1,4,0.5087954556812314
plv_theta_CP1,5,0.4941437444543034
plv_theta_CP1,6,0.5049418604651162
plv_theta_CP1,7,0.49729111089154565
plv_theta_CP1,8,0.4716891935449212
plv_theta_CP1,9,0.5105708245243129
plv_theta_CP5,0,0.4705751135626217
plv_theta_CP5,1,0.5001478682329746
plv_theta_CP5,2,0.5108451870249116
plv_theta_CP5,3,0.4915653093601269
plv_theta_CP5,4,0.5323166364045243
plv_theta_CP5,5,0.5065513161786453
plv_theta_CP5,6,0.4905361757105943
plv_theta_CP5,7,0.49850969930507527
plv_theta_CP5,8,0.5169757397339751
plv_theta_CP5,9,0.5217494714587738
plv_theta_P7,0,0.5159393251135627
plv_theta_P7,1,0.516134067197897
plv_theta_P7,2,0.4981034093474825
plv_theta_P7,3,0.4701216287678477
plv_theta_P7,4,0.517957388682514
plv_theta_P7,5,0.5225672877846791
plv_theta_P7,6,0.48478682170542636
plv_theta_P7,7,0.4779666040905049
plv_theta_P7,8,0.5106474418204869
plv_theta_P7,9,0.5261715997181113
plv_theta_P3,0,0.4941190785204413
plv_theta_P3,1,0.4895177852624661
plv_theta_P3,2,0.464551817566042
plv_theta_P3,3,0.5079234972677595
plv_theta_P3,4,0.49466109176925255
plv_theta_P3,5,0.49948240165631475
plv_theta_P3,6,0.48801679586563307
plv_theta_P3,7,0.4830468003820439
plv_theta_P3,8,0.4847862990738552
plv_theta_P3,9,0.4985377026074701
plv_theta_Pz,0,0.5115184944841012
plv_theta_Pz,1,0.5155590240696624
plv_theta_Pz,2,0.4909836682471589
plv_theta_Pz,3,0.49158293671778597
plv_theta_Pz,4,0.501607502790225
plv_theta_Pz,5,0.5104998521147589
plv_theta_Pz,6,0.5038759689922481
plv_theta_Pz,7,0.4931001547936633
plv_theta_Pz,8,0.5247437522831295
plv_theta_Pz,9,0.5174947145877379
plv_theta_PO3,0,0.5160812783906554
plv_theta_PO3,1,0.5167666146389551
plv_theta_PO3,2,0.4868217054263566
plv_theta_PO3,3,0.49899524061343203
plv_theta_PO3,4,0.47713681264679914
plv_theta_PO3,5,0.5074386276249631
plv_theta_PO3,6,0.5108527131782945
plv_theta_PO3,7,0.5188222507657346
plv_theta_PO3,8,0.5109805101317232
plv_theta_PO3,9,0.5324612403100775
plv_theta_O1,0,0.5136883517196625
plv_theta_O1,1,0.5143842931076974
plv_theta_O1,2,0.4877323699857003
plv_theta_O1,3,0.5296932839767319
plv_theta_O1,4,0.48290883043760724
plv_theta_O1,5,0.4738391008577344
plv_theta_O1,6,0.4966731266149871
plv_theta_O1,7,0.528925007410335
plv_theta_O1,8,0.5059307647678192
plv_theta_O1,9,0.49953312191684285
plv_theta_Oz,0,0.4950316353017521
plv_theta_Oz,1,0.503532407787727
plv_theta_Oz,2,0.4995032738767216
plv_theta_Oz,3,0.5043187026264763
plv_theta_Oz,4,0.5012243674101714
plv_theta_Oz,5,0.49267968056787936
plv_theta_Oz,6,0.5189599483204135
plv_theta_Oz,7,0.5041168527484109
plv_theta_Oz,8,0.5124309689064616
plv_theta_Oz,9,0.5420014094432699
plv_theta_O2,0,0.5075843608046723
plv_theta_O2,1,0.5446890659656617
plv_theta_O2,2,0.5150447806126289
plv_theta_O2,3,0.5513573065397497
plv_theta_O2,4,0.5353817194449534
plv_theta_O2,5,0.48708961845607807
plv_theta_O2,6,0.5102713178294573
plv_theta_O2,7,0.49081118466554685
plv_theta_O2,8,0.514203751853364
plv_theta_O2,9,0.47852360817477096
plv_theta_PO4,0,0.5064081765087606
plv_theta_PO4,1,0.49578575536022346
plv_theta_PO4,2,0.49230074508918487
plv_theta_PO4,3,0.48694694165344615
plv_theta_PO4,4,0.48849760956838967
plv_theta_PO4,5,0.5234693877551021
plv_theta_PO4,6,0.5066537467700258
plv_theta_PO4,7,0.4972334749530679
plv_theta_PO4,8,0.5255925392698283
plv_theta_PO4,9,0.5011363636363636
plv_theta_P4,0,0.4889479234263465
plv_theta_P4,1,0.48529532572085765
plv_theta_P4,2,0.47867840746594414
plv_theta_P4,3,0.4971708090957166
plv_theta_P4,4,0.5241125418533757
plv_theta_P4,5,0.516784974859509
plv_theta_P4,6,0.4904715762273902
plv_theta_P4,7,0.48600270065540296
plv_theta_P4,8,0.5035133334765886
plv_theta_P4,9,0.515776955602537
plv_theta_P8,0,0.5181902985074627
plv_theta_P8,1,0.4807606999096361
plv_theta_P8,2,0.5271769398660344
plv_theta_P8,3,0.5075621364357483
plv_theta_P8,4,0.48418317202778566
plv_theta_P8,5,0.4939367051168293
plv_theta_P8,6,0.5007105943152454
plv_theta_P8,7,0.46869545170108357
plv_theta_P8,8,0.489427767153018
plv_theta_P8,9,0.4651603241719521
plv_theta_CP6,0,0.504055807916937
plv_theta_CP6,1,0.4804156740326953
plv_theta_CP6,2,0.499992473846617
plv_theta_CP6,3,0.5053146483342147
plv_theta_CP6,4,0.510178074661425
plv_theta_CP6,5,0.5046435965690624
plv_theta_CP6,6,0.5033268733850129
plv_theta_CP6,7,0.49865790600401805
plv_theta_CP6,8,0.48945999957023445
plv_theta_CP6,9,0.4967494714587738
plv_theta_CP2,0,0.45642034393251135
plv_theta_CP2,1,0.5042635340507682
plv_theta_CP2,2,0.4971551140212237
plv_theta_CP2,3,0.5062841530054645
plv_theta_CP2,4,0.5199396978227916
plv_theta_CP2,5,0.4939958592132505
plv_theta_CP2,6,0.5225129198966408
plv_theta_CP2,7,0.4910911306524388
plv_theta_CP2,8,0.4986354943378387
plv_theta_CP2,9,0.491023608174771
plv_theta_C4,0,0.5453033744321869
plv_theta_C4,1,0.5126345190174978
plv_theta_C4,2,0.5034620305561828
plv_theta_C4,3,0.5278071567072096
plv_theta_C4,4,0.4851659975679232
plv_theta_C4,5,0.4712954747116238
plv_theta_C4,6,0.48594961240310075
plv_theta_C4,7,0.4696999637716958
plv_theta_C4,8,0.5221436706276726
plv_theta_C4,9,0.5185694150810429
plv_theta_T8,0,0.5057389682024659
plv_theta_T8,1,0.5071058900846135
plv_theta_T8,2,0.5046436366373147
plv_theta_T8,3,0.4757183148246078
plv_theta_T8,4,0.49138778297879426
plv_theta_T8,5,0.5003845016267376
plv_theta_T8,6,0.5135335917312661
plv_theta_T8,7,0.4988719823469354
plv_theta_T8,8,0.49852805294711733
plv_theta_T8,9,0.4802677942212826
plv_theta_FC6,0,0.5195084360804673
plv_theta_FC6,1,0.5008132752813603
plv_theta_FC6,2,0.49991721231278696
plv_theta_FC6,3,0.5261061166931077
plv_theta_FC6,4,0.4925621762089587
plv_theta_FC6,5,0.493818396923987
plv_theta_FC6,6,0.508656330749354
plv_theta_FC6,7,0.5055989197378388
plv_theta_FC6,8,0.49876442400670434
plv_theta_FC6,9,0.5132487667371388
plv_theta_FC2,0,0.5193867618429591
plv_theta_FC2,1,0.5016511952682166
plv_theta_FC2,2,0.5026416798374351
plv_theta_FC2,3,0.5228009871320289
plv_theta_FC2,4,0.5113774549815928
plv_theta_FC2,5,0.48124815143448685
plv_theta_FC2,6,0.49463824289405683
plv_theta_FC2,7,0.5042485920363601
plv_theta_FC2,8,0.519651030362937
plv_theta_FC2,9,0.48291930937279776
plv_theta_F4,0,0.5239292667099287
plv_theta_F4,1,0.497757331799885
plv_theta_F4,2,0.5166026943629111
plv_theta_F4,3,0.5185880486515071
plv_theta_F4,4,0.4901800736286252
plv_theta_F4,5,0.46875184856551316
plv_theta_F4,6,0.49722222222222223
plv_theta_F4,7,0.5169943681454401
plv_theta_F4,8,0.5213271160581903
plv_theta_F4,9,0.5022022551092318
plv_theta_F8,0,0.5107276119402986
plv_theta_F8,1,0.49282017579889925
plv_theta_F8,2,0.47864077669902916
plv_theta_F8,3,0.5260444209413009
plv_theta_F8,4,0.5205477170128767
plv_theta_F8,5,0.5080597456373854
plv_theta_F8,6,0.5181847545219638
plv_theta_F8,7,0.48978197147844416
plv_theta_F8,8,0.4882888884113716
plv_theta_F8,9,0.5097603946441156
plv_theta_AF4,0,0.49488968202465927
plv_theta_AF4,1,0.5062679700977573
plv_theta_AF4,2,0.4989839692932942
plv_theta_AF4,3,0.5075004406839415
plv_theta_AF4,4,0.5333744232146724
plv_theta_AF4,5,0.47509612540668444
plv_theta_AF4,6,0.5149547803617571
plv_theta_AF4,7,0.5004281526858347
plv_theta_AF4,8,0.5496486666523411
plv_theta_AF4,9,0.5137773079633545
plv_theta_Fp2,0,0.530418559377028
plv_theta_Fp2,1,0.49699334592951616
plv_theta_Fp2,2,0.5070670580266426
plv_theta_Fp2,3,0.5143134144191785
plv_theta_Fp2,4,0.5045476503806366
plv_theta_Fp2,5,0.49389233954451345
plv_theta_Fp2,6,0.5199612403100775
plv_theta_Fp2,7,0.5232025820900438
plv_theta_Fp2,8,0.5212304188065411
plv_theta_Fp2,9,0.4898784355179704
plv_theta_Fz,0,0.5281067488643738
plv_theta_Fz,1,0.5109504641419536
plv_theta_Fz,2,0.5011213968540679
plv_theta_Fz,3,0.4816587343557201
plv_theta_Fz,4,0.4890806416684713
plv_theta_Fz,5,0.5301685891748004
plv_theta_Fz,6,0.4994832041343669
plv_theta_Fz,7,0.4985179330105721
plv_theta_Fz,8,0.47794228248490445
plv_theta_Fz,9,0.5074788583509513
plv_theta_Cz,0,0.5004055807916937
plv_theta_Cz,1,0.5134477942988581
plv_theta_Cz,2,0.49488974185293894
plv_theta_Cz,3,0.489458840119866
plv_theta_Cz,4,0.49741800069963854
plv_theta_Cz,5,0.4788819875776398
plv_theta_Cz,6,0.5148255813953488
plv_theta_Cz,7,0.45954780489411456
plv_theta_Cz,8,0.48508713496787503
plv_theta_Cz,9,0.4880813953488372
ccorr_alpha_Fp1,0,0.5051305970149254
ccorr_alpha_Fp1,1,0.48597716257290724
ccorr_alpha_Fp1,2,0.4923157973959509
ccorr_alpha_Fp1,3,0.4998854221752159
ccorr_alpha_Fp1,4,0.48272559177758156
ccorr_alpha_Fp1,5,0.5234989648033126
ccorr_alpha_Fp1,6,0.47771317829457366
ccorr_alpha_Fp1,7,0.5071468563712414
ccorr_alpha_Fp1,8,0.48390527966994007
ccorr_alpha_Fp1,9,0.4712209302325582
ccorr_alpha_AF3,0,0.5091255678131084
ccorr_alpha_AF3,1,0.5320052575371724
ccorr_alpha_AF3,2,0.5225107247685707
ccorr_alpha_AF3,3,0.5386920500616957
ccorr_alpha_AF3,4,0.5016658060002332
ccorr_alpha_AF3,5,0.5182490387459332
ccorr_alpha_AF3,6,0.49224806201550386
ccorr_alpha_AF3,7,0.5109837631327603
ccorr_alpha_AF3,8,0.5022347809270044
ccorr_alpha_AF3,9,0.4999911909795631
ccorr_alpha_F7,0,0.5048061323815705
